City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
3141332,Røros,75,NO,1603344188,95,62.57,11.38,33.8,3.36
1639362,Kresek,40,ID,1603344189,59,-6.13,106.38,97.0,14.99
3460148,Januária,100,BR,1603344189,83,-15.48,-44.37,72.73,2.04
5710360,Winnemucca,1,US,1603344189,40,40.97,-117.74,51.8,5.82
1804879,Kaifeng,0,CN,1603344190,21,34.79,114.35,68.0,2.24
1835848,Seoul,1,KR,1603344112,52,37.57,126.98,68.0,4.7
1812381,Dongli,75,CN,1603344190,61,23.57,116.82,77.0,11.18
779554,Honningsvåg,20,NO,1603344010,87,70.98,25.97,32.0,8.05
5166819,Piqua,70,US,1603344191,97,40.14,-84.24,60.01,4.79
3840300,Presidencia Roque Sáenz Peña,53,AR,1603344191,60,-26.79,-60.44,78.84,2.77
2278158,Buchanan,75,LR,1603344192,94,5.88,-10.05,75.2,2.24
1056899,Sambava,77,MG,1603343921,67,-14.27,50.17,78.49,16.62
6164499,The Pas,90,CA,1603344192,73,53.83,-101.25,26.6,8.05
1489822,Tegul'det,100,RU,1603344192,60,57.31,88.17,46.42,12.44
1173889,Khipro,0,PK,1603344192,10,25.83,69.38,92.89,6.78
4280539,Topeka,90,US,1603344193,93,39.05,-95.68,48.2,6.93
2025241,Churapcha,99,RU,1603344193,95,62.0,132.43,21.45,4.03
3480908,La Asuncion,2,VE,1603344051,88,11.03,-63.86,82.4,13.87
609906,Fort-Shevchenko,100,KZ,1603344194,48,44.51,50.26,54.43,9.53
5859699,College,90,US,1603344051,85,64.86,-147.8,24.8,5.82
2057087,Kupang,40,ID,1603344194,41,-10.17,123.58,95.0,8.05
2017912,Plastun,58,RU,1603344194,69,44.76,136.29,59.76,3.04
2108502,Honiara,75,SB,1603344054,70,-9.43,159.95,86.0,3.36
5856516,‘Āhuimanu,75,US,1603344195,83,21.44,-157.84,78.8,3.36
4870380,Ottumwa,90,US,1603344195,100,41.02,-92.41,50.0,10.29
1920772,Zhoucheng,0,CN,1603344195,22,35.91,116.31,67.32,8.95
788975,Kruševac,50,RS,1603344196,93,43.58,21.33,37.4,3.36
934517,Flic en Flac,40,MU,1603344196,61,-20.27,57.36,79.0,13.87
5357155,Hillsborough,1,US,1603344196,82,37.57,-122.38,64.4,6.93
6067747,Matagami,90,CA,1603344197,100,49.75,-77.63,33.8,5.82
296852,Erzin,2,TR,1603344197,75,36.96,36.2,71.01,2.19
3466980,Caravelas,99,BR,1603344197,85,-17.71,-39.25,74.25,4.5
2039557,Khasan,64,RU,1603343737,41,42.43,130.64,55.04,12.91
